#{"t_start": 1733170565.426464, "env_id": "None"}
r,l,t
10.120028,38,285.34643
-16.65,34,285.442234
-13.41,37,285.541201
-16.5,27,285.613343
-23.0,48,285.726095
7.86014,72,285.944096
-11.0,24,286.021001
7.436782,35,286.131233
-7.37,37,286.242135
-13.99,37,286.349598
8.0,40,286.475242
-11.0,37,286.602361
-17.0,33,286.692191
-7.88,35,286.768402
-10.29,32,286.839483
-10.13,25,286.891189
13.180451,23,286.958695
-13.29,30,287.025993
-16.77,34,287.100702
-13.74,28,287.165849
7.410774,46,287.286063
7.042373,85,287.476633
-13.91,76,287.695907
-7.81,61,287.886921
-16.42,25,287.983102
-13.54,43,288.108356
-13.09,50,288.275019
-7.3,72,288.476696
-13.28,44,288.627181
-10.01,24,288.705141
-13.6,33,288.799304
7.901575,64,289.008222
-8.0,38,289.129877
-22.22,23,289.194681
7.077181,48,289.307172
12.599759,67,289.504494
-7.84,36,289.636761
-10.89,26,289.725951
-11.0,50,289.876921
-13.54,35,289.992883
-13.92,78,290.198593
-16.39,50,290.349194
-10.69,61,290.525821
-19.69,47,290.66959
-13.19,22,290.746411
-16.18,27,290.832149
7.10917,48,290.988355
-13.56,42,291.115187
-10.91,58,291.293086
8.0,53,291.457663
7.85614,64,291.706915
-10.93,29,291.807439
-14.0,33,291.909145
-10.28,52,292.057768
-10.2,40,292.182103
-7.2,42,292.318796
-10.88,40,292.444979
-13.45,24,292.521905
-13.77,28,292.610107
-16.37,34,292.712308
-11.0,25,292.793554
-14.0,65,293.100428
-19.37,44,293.246279
-17.0,21,293.314081
-16.57,20,293.374841
-13.91,24,293.449497
-7.72,54,293.669423
-13.56,42,293.832749
-13.81,25,293.928864
10.963068,33,294.032863
-10.27,46,294.191115
-10.24,30,294.290957
-14.0,70,294.514486
-13.13,47,294.69415
11.0,23,294.774892
-10.44,31,294.872808
-7.13,23,294.961293
-16.87,37,295.080848
-13.14,37,295.1886
-19.38,19,295.244774
-16.03,41,295.361998
-19.22,23,295.426083
-10.87,89,295.708482
-8.0,34,295.837581
-19.73,28,295.931159
-16.34,34,296.024888
-10.64,36,296.12928
-8.0,65,296.307898
-16.28,39,296.422842
-7.59,32,296.523409
8.0,37,296.645141
-7.35,37,296.754317
10.366142,58,296.949533
-11.0,40,297.073787
-10.5,51,297.229573
-16.65,28,297.325409
-11.0,37,297.409156
-19.33,28,297.470021
8.0,66,297.603204
-19.81,17,297.638181
-20.0,27,297.6943
-16.62,29,297.756499
12.683814,46,297.882359
-13.59,28,297.984281
-10.36,28,298.085816
-10.3,46,298.236273
-13.32,32,298.331042
16.737805,29,298.432784
-10.53,35,298.553688
-13.59,71,298.784105
-22.09,15,298.840605
-12.81,51,299.003819
-16.64,28,299.094925
-10.39,74,299.332812
-19.55,30,299.432763
9.808137,40,299.559156
7.671111,27,299.659716
-16.88,66,299.836069
10.177019,37,299.972807
-16.41,57,300.173415
-7.9,36,300.302791
9.991736,38,300.429624
-10.98,27,300.514186
-13.73,22,300.590019
-7.21,50,300.745397
-10.89,31,300.836655
12.506913,41,300.974656
7.672932,38,301.09798
-16.01,35,301.216976
7.21831,27,301.306435
-19.16,21,301.367674
-10.23,25,301.445203
14.858807,27,301.535377
-11.0,54,301.693531
7.332016,54,301.87552
-13.11,37,302.00319
7.033113,48,302.152153
-10.68,74,302.371437
-13.68,40,302.493671
9.39032,37,302.610169
-7.03,34,302.721729
10.931408,29,302.815607
10.897436,34,302.937274
-16.5,44,303.068752
-16.58,41,303.20344
-10.88,29,303.296775
-11.0,35,303.402902
-14.0,23,303.47214
-17.0,19,303.529788
-13.54,23,303.600651
7.658088,55,303.75231
-17.0,46,303.88672
-10.4,50,304.05066
-17.0,86,304.323067
-10.78,42,304.467504
7.392727,38,304.591242
-13.5,28,304.680716
-14.0,36,304.784694
-10.44,26,304.860414
-16.16,20,304.933983
10.210215,33,305.040933
9.717569,39,305.164037
-13.27,25,305.242654
-8.0,54,305.415814
-19.56,40,305.534016
-8.0,36,305.642238
-9.05,18,305.700707
-10.61,38,305.803357
-8.0,40,305.937319
-15.41,53,306.09354
7.257028,34,306.204311
10.395062,52,306.384841
9.333221,61,306.611324
10.854167,42,306.74824
-16.18,29,306.810465
-7.16,58,306.957785
-5.0,26,307.01662
7.261589,49,307.128144
7.225352,46,307.257085
-10.51,29,307.347787
-13.23,33,307.444437
-10.46,72,307.653386
16.765498,38,307.788817
-13.74,38,307.905644
11.0,30,308.008059
