#{"t_start": 1733170565.426464, "env_id": "None"}
r,l,t
-13.62,32,49.296583
7.097276,34,49.397936
-7.36,52,49.556887
-10.73,27,49.644637
-20.0,21,49.704184
-10.76,25,49.775215
7.01938,37,49.876039
-10.83,42,50.006066
-13.38,44,50.147282
-13.04,38,50.264318
13.750916,43,50.391905
-10.4,53,50.576165
-10.02,36,50.656501
7.429022,43,50.769156
-19.85,33,50.865098
-11.0,35,50.98578
7.212121,56,51.154136
7.549091,59,51.333301
-17.0,32,51.431849
-11.0,86,51.68903
-22.16,20,51.751803
-14.0,46,51.888094
-11.0,40,52.006542
-23.0,12,52.039017
-11.0,42,52.135906
19.23676,14,52.186158
-8.0,29,52.27126
-10.88,51,52.430898
7.718861,33,52.534553
-10.8,31,52.637962
-14.0,43,52.760678
9.300268,38,52.885197
13.481279,47,53.17117
-16.92,26,53.253539
-10.1,27,53.338553
7.092466,34,53.455667
-14.0,26,53.536338
-10.05,36,53.652221
-16.38,27,53.738123
-15.98,39,53.848276
-10.88,85,54.074974
-13.24,65,54.243434
-7.23,51,54.424516
-11.0,33,54.537869
-10.87,32,54.646159
13.140741,29,54.733692
-13.69,37,54.841319
-13.47,42,54.983196
-16.62,27,55.071843
-20.0,25,55.152907
-12.78,28,55.24842
10.137072,25,55.327764
-19.79,30,55.401088
-10.25,69,55.611715
-13.87,28,55.69914
-7.38,42,55.821178
-10.17,43,55.965444
-13.07,36,56.0776
-10.07,34,56.184514
13.164442,52,56.345937
-20.0,29,56.437506
-16.28,28,56.506772
-16.61,17,56.54743
-10.68,44,56.667015
-20.0,31,56.760491
-7.55,29,56.853323
-17.0,40,56.99474
-7.69,29,57.129608
-13.43,29,57.225554
-16.88,26,57.324209
-10.92,35,57.451391
-13.6,21,57.508364
-7.54,39,57.593789
16.835341,18,57.639127
7.505051,47,57.743522
-13.79,35,57.831157
-9.87,34,57.920353
-7.9,47,58.063675
-13.88,57,58.248561
-17.0,19,58.305663
13.227414,42,58.415961
-14.0,67,58.581209
-7.25,39,58.692639
10.726236,44,58.821147
11.0,66,59.022759
-10.43,34,59.144686
-19.49,32,59.255636
-13.99,30,59.354497
7.083591,57,59.523662
-17.0,27,59.612162
-22.37,39,59.725651
-19.71,35,59.821081
-16.77,33,60.211467
-10.54,40,60.350686
-7.43,85,60.625372
-19.77,22,60.692664
14.601236,27,60.778912
-11.0,129,61.149291
-13.26,44,61.280588
-13.69,57,61.444005
-17.0,44,61.607727
-13.22,26,61.697933
-19.92,29,61.782738
-7.89,58,61.959564
-10.86,43,62.086572
7.125364,55,62.263297
7.324232,49,62.404674
-13.62,28,62.488506
-16.71,31,62.579017
12.393321,31,62.677181
13.965412,42,62.803401
-18.81,88,63.049488
-11.83,46,63.201551
-11.0,53,63.392652
-13.16,25,63.474923
-17.0,29,63.561469
-13.62,29,63.653057
-13.62,43,63.777353
7.452012,67,63.987959
7.723077,29,64.073342
8.0,36,64.17521
7.403361,39,64.288673
-19.39,33,64.378196
-19.6,35,64.452753
-7.31,71,64.637099
-16.26,21,64.702124
-10.91,29,64.796494
8.0,57,64.980087
-11.0,30,65.077695
-7.56,58,65.262735
7.692308,37,65.421084
-13.29,20,65.491849
7.101504,36,65.610319
-13.44,76,65.830223
-13.32,36,65.962152
-13.44,35,66.069526
-10.66,32,66.173158
-16.66,23,66.248644
-14.0,36,66.35304
-19.81,20,66.414552
-12.48,29,66.503003
-13.16,31,66.595896
-16.87,28,66.67295
-10.68,90,66.926513
-15.84,72,67.17493
10.260579,44,67.349797
-19.19,31,67.446199
-7.05,30,67.539562
-16.1,35,67.65482
-14.0,22,67.713287
-11.0,45,67.855073
-12.88,52,68.012337
7.097222,54,68.179305
-11.0,40,68.301861
-15.92,47,68.447859
-16.86,56,68.603794
-7.89,65,68.81121
-19.15,32,68.912107
-11.0,25,69.001184
-13.36,108,69.320094
-7.94,53,69.490764
-19.63,30,69.588177
-16.02,31,69.687589
-19.38,30,69.75516
9.52451,30,69.82671
-13.22,41,69.932175
7.453846,40,70.04939
-8.0,38,70.168646
-8.0,35,70.28249
-11.0,59,70.489628
-10.78,47,70.641835
-8.0,37,70.767272
-13.91,37,70.896833
-7.54,42,71.070543
-11.0,31,71.179937
-19.24,30,71.272585
-10.68,23,71.348242
-13.85,27,71.425905
7.477352,62,71.619304
7.378472,55,71.855736
-16.62,54,72.053463
7.472325,59,72.277313
7.06746,42,72.428299
-9.81,62,72.619401
-19.69,40,72.769684
-14.0,21,72.842607
-13.56,55,72.999801
13.484326,25,73.05963
-8.0,36,73.164166
-19.5,29,73.248737
7.414062,43,73.389778
-10.36,33,73.493299
9.995257,26,73.574172
-10.18,57,73.753755
-7.61,30,73.856302
-16.45,40,73.98595
7.247967,30,74.080214
-8.0,30,74.179281
-13.88,36,74.287162
-19.44,17,74.340447
-13.78,26,74.417348
-10.6,51,74.574077
-14.0,26,74.654312
-7.21,77,74.861263
-16.59,22,74.911907
-13.64,36,75.004265
-13.75,48,75.109773
-16.9,62,75.26496
-11.0,39,75.395635
-11.0,32,75.499594
-8.0,41,75.618227
-17.0,26,75.702318
-13.59,23,75.768788
-13.23,29,75.861698
-16.06,28,75.953906
-13.24,29,76.042915
7.536131,105,76.295761
-8.0,56,76.41757
-7.71,42,76.536504
-13.48,29,76.633558
-10.46,35,76.753487
-10.04,56,76.914779
8.0,30,77.018197
-16.29,34,77.123388
-10.67,56,77.288368
-16.81,57,77.468922
7.409894,89,77.741779
-22.73,16,77.800171
-13.16,32,77.901262
-11.0,34,78.019102
-8.0,37,78.125804
-16.8,21,78.194806
-7.77,40,78.30816
-10.47,39,78.422291
-13.91,17,78.474652
-16.63,39,78.583502
-13.06,37,78.698961
7.418182,29,78.791429
-22.1,22,78.856382
-22.25,33,78.956981
-16.47,43,79.075463
7.722561,61,79.29552
-17.0,45,79.447918
-17.0,42,79.573387
7.173913,47,79.726784
-10.45,47,79.890729
-11.0,27,79.991023
-16.4,31,80.080248
-8.0,65,80.262469
-19.69,29,80.355803
